order_date,country,order_id,product,qty,price
2024-02-16,IN,1000,Shoes,2,54.37
2024-02-01,CA,1001,Backpack,4,77.01
2024-02-03,AU,1002,Jacket,1,95.07
2024-03-01,UK,1003,Jeans,1,42.03
2024-01-31,IN,1004,T-Shirt,3,15.94
2024-01-17,IN,1005,Watch,2,131.49
2024-01-15,UK,1006,Shoes,3,50.83
2024-01-18,IN,1007,Backpack,3,85.85
2024-01-25,AU,1008,T-Shirt,2,16.94
2024-01-06,IN,1009,Jeans,4,37.45
2024-02-18,CA,1010,Jeans,1,42.54
2024-01-08,UK,1011,T-Shirt,5,14.8
2024-01-03,IN,1012,Jeans,2,38.34
2024-02-14,US,1013,Socks,2,5.44
2024-01-13,UK,1014,Shoes,2,45.97
2024-02-11,US,1015,Jacket,5,84.32
2024-01-04,AU,1016,Backpack,3,85.08
2024-02-25,US,1017,Backpack,5,82.64
2024-01-06,AU,1018,Shoes,5,53.75
2024-02-05,UK,1019,Socks,1,5.92
2024-01-07,AU,1020,Jacket,1,87.0
2024-02-11,AU,1021,Socks,4,6.5
2024-01-17,US,1022,Jacket,2,98.22
2024-01-16,CA,1023,Backpack,5,77.3
2024-01-29,UK,1024,Shoes,2,46.97
2024-01-31,AU,1025,Jeans,5,37.67
2024-02-02,IN,1026,Shoes,1,46.0
2024-02-24,US,1027,Jeans,4,36.61
2024-01-26,CA,1028,Jacket,2,94.47
2024-01-25,CA,1029,Watch,5,124.93
2024-01-03,IN,1030,Jacket,1,82.82
2024-01-28,AU,1031,Watch,1,110.15
2024-01-25,US,1032,Backpack,3,79.27
2024-02-24,UK,1033,Backpack,2,83.16
2024-02-27,UK,1034,Jeans,1,36.62
2024-02-20,US,1035,Socks,5,6.51
2024-02-12,AU,1036,Shoes,2,45.49
2024-01-24,US,1037,Jeans,1,37.5
2024-01-25,CA,1038,Jacket,1,90.39
2024-02-22,UK,1039,Watch,4,129.92
2024-02-02,US,1040,T-Shirt,2,16.28
2024-02-01,CA,1041,Watch,3,117.46
2024-01-14,CA,1042,Shoes,5,46.01
2024-01-23,IN,1043,Backpack,3,81.08
2024-02-14,US,1044,Shoes,1,47.55
2024-03-01,CA,1045,Socks,4,6.35
2024-02-20,US,1046,Backpack,5,82.64
2024-01-14,US,1047,Shoes,3,52.5
2024-02-08,AU,1048,Jacket,4,85.38
2024-02-16,UK,1049,Watch,5,119.68
2024-01-26,CA,1050,Jeans,2,39.17
2024-01-22,AU,1051,T-Shirt,5,14.85
2024-01-29,US,1052,Jeans,5,38.43
2024-01-31,CA,1053,Jacket,3,81.91
2024-02-02,US,1054,Jacket,3,84.22
2024-01-30,UK,1055,Socks,4,5.56
2024-01-08,AU,1056,T-Shirt,2,16.3
2024-01-17,US,1057,Jacket,3,88.66
2024-01-30,US,1058,Jeans,2,41.55
2024-02-04,US,1059,Shoes,2,52.73
2024-01-01,CA,1060,Shoes,3,51.52
2024-02-26,US,1061,Backpack,3,72.55
2024-02-13,UK,1062,Jacket,2,81.77
2024-02-14,CA,1063,Shoes,5,49.55
2024-01-28,CA,1064,Hat,3,19.98
2024-02-24,CA,1065,Socks,2,6.41
2024-01-09,US,1066,Backpack,2,85.8
2024-02-04,AU,1067,Hat,4,18.97
2024-01-09,AU,1068,Watch,4,112.11
2024-01-15,US,1069,Watch,4,108.86
2024-01-11,US,1070,Backpack,1,80.78
2024-02-19,IN,1071,Socks,5,6.41
2024-02-18,CA,1072,T-Shirt,2,14.77
2024-01-31,UK,1073,Jeans,2,37.18
2024-02-06,CA,1074,Backpack,3,77.8
2024-02-29,IN,1075,Socks,4,5.58
2024-01-27,IN,1076,T-Shirt,4,15.04
2024-02-14,CA,1077,Socks,3,6.22
2024-01-30,UK,1078,Hat,4,20.58
2024-01-14,IN,1079,Watch,2,110.21
2024-01-01,AU,1080,Shoes,4,48.44
2024-02-25,CA,1081,Shoes,5,50.23
2024-01-04,CA,1082,Socks,4,6.41
2024-02-06,UK,1083,Watch,5,131.86
2024-01-03,AU,1084,Jeans,3,41.48
2024-02-06,US,1085,Jeans,5,42.61
2024-02-16,IN,1086,Backpack,3,80.87
2024-01-28,UK,1087,Shoes,5,49.15
2024-01-28,UK,1088,T-Shirt,1,17.48
2024-01-08,CA,1089,Jacket,2,93.22
2024-02-13,AU,1090,Socks,5,6.31
2024-01-17,US,1091,Shoes,2,45.44
2024-02-22,UK,1092,Jeans,3,43.62
2024-02-26,IN,1093,Socks,3,6.2
2024-01-20,UK,1094,Watch,4,125.37
2024-01-04,IN,1095,Shoes,2,53.76
2024-01-07,CA,1096,Jacket,3,89.38
2024-01-29,CA,1097,Shoes,2,46.06
2024-02-07,IN,1098,Hat,1,21.57
2024-01-09,CA,1099,Socks,4,5.72
