date,year,day_name,quarter,week_of_year
01-08-2025,2025,friday,3,-31
02-08-2025,2025,SATURDAY,3,-31
03-08-2025,2025,SUNDAY,3,-31
04-08-2025,2025,MONDAY,3,-32
05-08-2025,2025,TUESDAY,3,-32
06-08-2025,2025,WEDNESDAY,3,-32
07-08-2025,2025,thursday,3,-32
08-08-2025,2025,friday,3,-32
09-08-2025,2025,SATURDAY,3,-32
10-08-2025,2025,SUNDAY,3,-32
11-08-2025,2025,MONDAY,3,-33
12-08-2025,2025,TUESDAY,3,-33
13-08-2025,2025,wednesday,3,-33
14-08-2025,2025,thursday,3,-33
15-08-2025,2025,FRIDAY,3,-33
16-08-2025,2025,saturday,3,-33
17-08-2025,2025,sunday,3,-33
18-08-2025,2025,MONDAY,3,-34
19-08-2025,2025,tuesday,3,-34
20-08-2025,2025,WEDNESDAY,3,-34
21-08-2025,2025,thursday,3,-34
22-08-2025,2025,friday,3,-34
23-08-2025,2025,SATURDAY,3,-34
24-08-2025,2025,SUNDAY,3,-34
25-08-2025,2025,monday,3,-35
26-08-2025,2025,tuesday,3,-35
27-08-2025,2025,WEDNESDAY,3,-35
28-08-2025,2025,thursday,3,-35
29-08-2025,2025,FRIDAY,3,-35
30-08-2025,2025,saturday,3,-35
31-08-2025,2025,sunday,3,-35
01-09-2025,2025,monday,3,-36
02-09-2025,2025,TUESDAY,3,-36
03-09-2025,2025,WEDNESDAY,3,-36
04-09-2025,2025,thursday,3,-36
05-09-2025,2025,FRIDAY,3,-36
06-09-2025,2025,saturday,3,-36
07-09-2025,2025,sunday,3,-36
08-09-2025,2025,monday,3,-37
09-09-2025,2025,TUESDAY,3,-37
10-09-2025,2025,wednesday,3,-37
11-09-2025,2025,thursday,3,-37
12-09-2025,2025,friday,3,-37
13-09-2025,2025,saturday,3,-37
14-09-2025,2025,sunday,3,-37
15-09-2025,2025,monday,3,-38
16-09-2025,2025,TUESDAY,3,-38
17-09-2025,2025,WEDNESDAY,3,-38
18-09-2025,2025,THURSDAY,3,-38
19-09-2025,2025,friday,3,-38
20-09-2025,2025,SATURDAY,3,-38
21-09-2025,2025,SUNDAY,3,-38
22-09-2025,2025,monday,3,-39
23-09-2025,2025,tuesday,3,-39
24-09-2025,2025,WEDNESDAY,3,-39
25-09-2025,2025,THURSDAY,3,-39
26-09-2025,2025,friday,3,-39
27-09-2025,2025,saturday,3,-39
28-09-2025,2025,sunday,3,-39
29-09-2025,2025,monday,3,-40
30-09-2025,2025,tuesday,3,-40
01-10-2025,2025,WEDNESDAY,4,-40
02-10-2025,2025,THURSDAY,4,-40
03-10-2025,2025,friday,4,-40
04-10-2025,2025,SATURDAY,4,-40
05-10-2025,2025,sunday,4,-40
06-10-2025,2025,monday,4,-41
07-10-2025,2025,tuesday,4,-41
08-10-2025,2025,WEDNESDAY,4,-41
09-10-2025,2025,thursday,4,-41
10-10-2025,2025,friday,4,-41
11-10-2025,2025,saturday,4,-41
12-10-2025,2025,sunday,4,-41
13-10-2025,2025,monday,4,-42
14-10-2025,2025,TUESDAY,4,-42
15-10-2025,2025,wednesday,4,-42
16-10-2025,2025,THURSDAY,4,-42
17-10-2025,2025,FRIDAY,4,-42
18-10-2025,2025,saturday,4,-42
19-10-2025,2025,sunday,4,-42
20-10-2025,2025,MONDAY,4,-43
21-10-2025,2025,TUESDAY,4,-43
22-10-2025,2025,wednesday,4,-43
23-10-2025,2025,THURSDAY,4,-43
24-10-2025,2025,friday,4,-43
25-10-2025,2025,saturday,4,-43
26-10-2025,2025,SUNDAY,4,-43
27-10-2025,2025,monday,4,-44
28-10-2025,2025,tuesday,4,-44
29-10-2025,2025,WEDNESDAY,4,-44
30-10-2025,2025,THURSDAY,4,-44
31-10-2025,2025,friday,4,-44
25-09-2025,2025,THURSDAY,3,-39
13-10-2025,2025,sunday,3,-28
29-08-2025,2025,thursday,2,-22
